,title,url,thumbnail,time
16,【ジャックジャンヌ/初見実況】少女は少年を演じた。Part.10【よなが/#新人Vtuber】,https://youtube.com/watch?v=MFmONVWkKWw,https://i.ytimg.com/vi/MFmONVWkKWw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA-TrR88AM8RalDtu0aDUWasR5Gnw,2:24:27
17,【ポケモンSV/初見実況】＃７ 気ままに旅するスカーレット！【よなが/#新人Vtuber】,https://youtube.com/watch?v=fHurI3Z5V9Q,https://i.ytimg.com/vi/fHurI3Z5V9Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB-xH3MdEHFWh5Bz356YGDa1XapkA,2:36:39
18,【ジャックジャンヌ/初見実況】少女は少年を演じた。Part.9【よなが/#新人Vtuber】,https://youtube.com/watch?v=vVxbhA6-R_8,https://i.ytimg.com/vi/vVxbhA6-R_8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8jAtpAgN3jWntc4_T6_4i7ZIz7Q,6:13:24
19,【ジャックジャンヌ/初見実況】少女は少年を演じた。Part.8【よなが/#新人Vtuber】,https://youtube.com/watch?v=asjKaN5Mw78,https://i.ytimg.com/vi/asjKaN5Mw78/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBEnCzyikdQtSF64ZsxN8gdrAXGEA,2:37:07
20,【SEKIRO/初見実況】 はじめてのSEKIRO！＃６【よなが/#新人Vtuber】,https://youtube.com/watch?v=jaEf-Ggodjw,https://i.ytimg.com/vi/jaEf-Ggodjw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOTn0ZMXOn_amvKfaOe_8e0VX81Q,3:55:05
21,【SEKIRO/初見実況】 はじめてのSEKIRO！＃５【よなが/#新人Vtuber】,https://youtube.com/watch?v=gyisy5U2zAM,https://i.ytimg.com/vi/gyisy5U2zAM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAadCX-L5vPnN_6aX0It0Y3YyAnIg,4:43:59
22,【近くアモアス！/コラボ】 誰も近寄らないでください！！！【よなが/#新人Vtuber】,https://youtube.com/watch?v=3_BuCTwC3MU,https://i.ytimg.com/vi/3_BuCTwC3MU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDGa4dg71M8r6sfmeWx752nZsna3g,2:12:24
23,【SEKIRO/初見実況】 はじめてのSEKIRO！＃４【よなが/#新人Vtuber】,https://youtube.com/watch?v=06mnOvAVHMI,https://i.ytimg.com/vi/06mnOvAVHMI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLClDaL7cAnhAt1VbDsHadiHf4XChA,6:03:18
24,【SEKIRO/初見実況】 はじめてのSEKIRO！＃３【よなが/#新人Vtuber】,https://youtube.com/watch?v=SILhuV1VdwA,https://i.ytimg.com/vi/SILhuV1VdwA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAp6E6t9EZA2W8GhtoSJkZB7q9ogw,9:54:03
25,【SEKIRO/初見実況】 はじめてのSEKIRO！＃２【よなが/#新人Vtuber】,https://youtube.com/watch?v=15mElOhgvb4,https://i.ytimg.com/vi/15mElOhgvb4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA0q_wL1xVlRbwAYECSisXHONQFzw,9:56:09
26,【SEKIRO/初見実況】 はじめてのSEKIRO！【よなが/#新人Vtuber】,https://youtube.com/watch?v=1YSlyQJm_Bc,https://i.ytimg.com/vi/1YSlyQJm_Bc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD96L9ZVXL-QZI1pp4Wi9FBF8IVAg,9:40:15
27,【ポケモンSV/初見実況】＃６ 気ままに旅するスカーレット！【よなが/#新人Vtuber】,https://youtube.com/watch?v=1M8NoQ_GMq8,https://i.ytimg.com/vi/1M8NoQ_GMq8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDtm1sFqtGI_vqBghntA98cIFZyCg,8:02:50
28,【ポケモンSV/初見実況】＃５ 気ままに旅するスカーレット！【よなが/#新人Vtuber】,https://youtube.com/watch?v=fUa6mm7H6oc,https://i.ytimg.com/vi/fUa6mm7H6oc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9SCMq2o_wsdcBtklH24a_LfV0MA,4:08:01
29,【ポケモンSV/初見実況】＃４ 気ままに旅するスカーレット！【よなが/#新人Vtuber】,https://youtube.com/watch?v=7zG4w_NbIH4,https://i.ytimg.com/vi/7zG4w_NbIH4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYYkArL1LkVaOy7IpEDmjVP8IFfQ,10:12:56
